Date,NPS
7/1/2015,54.6
7/3/2015,54.6
7/4/2015,54.6
7/5/2015,54.6
7/6/2015,54.6
7/7/2015,54.6
7/8/2015,54.6
7/9/2015,54.6
7/10/2015,54.6
7/11/2015,54.6
7/12/2015,54.6
7/13/2015,54.6
7/14/2015,54.6
7/15/2015,54.6
7/16/2015,54.6
7/17/2015,54.6
7/18/2015,54.6
7/19/2015,54.6
7/20/2015,54.6
7/21/2015,54.6
7/22/2015,54.6
7/23/2015,54.6
7/24/2015,54.6
7/25/2015,54.6
7/26/2015,54.6
7/27/2015,54.6
7/28/2015,54.6
7/29/2015,54.6
7/30/2015,54.6
7/31/2015,54.6
8/1/2015,60
8/2/2015,60
8/3/2015,60
8/4/2015,60
8/5/2015,60
8/6/2015,60
8/7/2015,60
8/8/2015,60
8/10/2015,60
8/11/2015,60
8/12/2015,60
8/14/2015,60
8/15/2015,60
8/16/2015,60
8/17/2015,60
8/18/2015,60
8/19/2015,60
8/21/2015,60
8/22/2015,60
8/24/2015,60
8/26/2015,60
8/27/2015,60
8/28/2015,60
8/29/2015,60
8/30/2015,60
8/31/2015,60
9/1/2015,46.9
9/2/2015,46.9
9/3/2015,46.9
9/4/2015,46.9
9/5/2015,46.9
9/6/2015,46.9
9/7/2015,46.9
9/8/2015,46.9
9/9/2015,46.9
9/10/2015,46.9
9/11/2015,46.9
9/12/2015,46.9
9/13/2015,46.9
9/14/2015,46.9
9/15/2015,46.9
9/16/2015,46.9
9/17/2015,46.9
9/18/2015,46.9
9/19/2015,46.9
9/20/2015,46.9
9/21/2015,46.9
9/22/2015,46.9
9/23/2015,46.9
9/24/2015,46.9
9/25/2015,46.9
9/26/2015,46.9
9/27/2015,46.9
9/28/2015,46.9
9/29/2015,46.9
9/30/2015,46.9
10/1/2015,44.4
10/2/2015,44.4
10/3/2015,44.4
10/4/2015,44.4
10/5/2015,44.4
10/6/2015,44.4
10/7/2015,44.4
10/8/2015,44.4
10/9/2015,44.4
10/10/2015,44.4
10/11/2015,44.4
10/12/2015,44.4
10/13/2015,44.4
10/14/2015,44.4
